index,codeCVM,issuingCompany,companyName,tradingName,cnpj,marketIndicator,typeBDR,dateListing,status,segment,segmentEng,type,market
0,900049,UQMU,1461 INVESTIMENTOS S.A,1461 INVEST,46639922000144,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1,25291,RRRP,3R PETROLEUM ÓLEO E GÁS S.A,3R PETROLEUM,12091809000155,18,,09/11/2020,A,Exploração. Refino e Distribuição,Exploration. Refining and Distribution,1,NM
2,900025,PTGU,3R POTIGUAR S.A,3RPOTIGUAR,44186763000144,99,,31/12/9999,A,Não Classificados,Not Classified,7,
3,908830,TZRD,3Z REALTY DESENVOLVIMENTO IMOBILIARIO S/A,3ZREALTY,8145855000112,1,,31/12/9999,A,Não Classificados,Not Classified,7,
4,16284,QVQP,524 PARTICIPACOES S.A.,524 PARTICIP,1851771000155,7,,11/09/1998,A,Outros,Others,1,MB
5,904110,GRDR,A  GERADORA  ALUGUEL DE MAQUINAS S.A.,GERADORA,33845322000190,1,,31/12/9999,A,Não Classificados,Not Classified,7,
6,901082,BODY,A BODYTECH PARTICIPACOES S.A.,BODYTECH,7737623000190,1,,31/12/9999,A,Não Classificados,Not Classified,7,
7,917521,AACL,A. ANGELONI & CIA LTDA,AANGELONI,83646984000100,99,,31/12/9999,A,Não Classificados,Not Classified,7,
8,910141,ATBC,AB CONCESSOES S.A.,ABCONCESSOES,15019317000147,1,,31/12/9999,A,Não Classificados,Not Classified,7,
9,900043,ABAP,ABA PORTO PARTICIPACOES S/A,ABAPORTO,15255561000109,1,,31/12/9999,A,Não Classificados,Not Classified,7,
10,900068,ABPR,ABAPORU PARTICIPACOES S/A,ABAPORU,18546405000195,1,,31/12/9999,A,Não Classificados,Not Classified,7,
11,900063,ABCC,ABC BRASIL COMERCIALIZADORA DE ENERGIA LTDA,ABCBRASIL,29198324000168,99,,31/12/9999,A,Não Classificados,Not Classified,7,
12,900050,ABMX,ABIMEX IMPORTACAO E EXPORTACAO S/A,ABIMEX,7121351000108,1,,31/12/9999,A,Não Classificados,Not Classified,7,
13,50335,ABGD,ABRDN PHYSICAL GOLD SHARES ETF,ABDEN GOLD,0,1,DRE,23/03/2022,A,Não Classificados,Not Classified,4,DRE
14,50327,SIVR,ABRDN PHYSICAL SILVER SHARES ETF,ABDEN SILV,0,1,DRE,23/03/2022,A,Não Classificados,Not Classified,4,DRE
15,909689,ABRL,ABRIL COMUNICACOES S.A.,ABRIL COM,44597052000162,7,,31/12/9999,A,Não Classificados,Not Classified,7,MB
16,900076,ACEC,ACECO TI S/A,ACECOTI,43209436000106,1,,31/12/9999,A,Não Classificados,Not Classified,7,
17,903617,FCEF,ACEF S.A.,ACEF,46722831000178,1,,31/12/9999,A,Não Classificados,Not Classified,7,
18,915298,ACHE,ACHE LABORATORIOS FARMACEUTICOS S.A.,ACHELABORAT,60659463002992,99,,31/12/9999,A,Não Classificados,Not Classified,7,
19,26425,GUSA,AÇO VERDE DO BRASIL S.A.,AÇO VERDE,7636657000199,8,,19/07/2023,A,Não Classificados,Not Classified,1,
20,913996,ACQO,ACQIO HOLDING PARTICIPACOES S.A.,ACQIO HOLDIN,31446280000190,1,,31/12/9999,A,Não Classificados,Not Classified,7,
21,916986,ACPE,AÇU PETROLEO S.A.,ACU PETROLEO,21778678000170,99,,31/12/9999,A,Não Classificados,Not Classified,7,
22,910893,QUAT,AÇUCAREIRA QUATA S.A.,QUATA,60855574000173,99,,31/12/9999,A,Não Classificados,Not Classified,7,
23,900092,ADMA,ADAMI S.A. - MADEIRAS,ADAMI,83054478000121,1,,31/12/9999,A,Não Classificados,Not Classified,7,
24,913574,ADAG,ADECOAGRO VALE DO EVINHEMA S.A.,ADECOAGRO VA,7903169000109,1,,31/12/9999,A,Não Classificados,Not Classified,7,
25,917679,ADGE,ADMINISTRADORA GERAL DE ESTACIONAMENTOS S.A,ADM ESTACIO,86862208000135,99,,31/12/9999,A,Não Classificados,Not Classified,7,
26,23396,AEGP,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,AEGEA,8827501000158,8,,09/03/2023,A,Não Classificado,E,1,
27,25283,AERI,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,AERIS,12528708000107,18,,09/11/2020,A,Máq. e Equip. Industriais,Machines and Industrial Equipments,1,NM
28,909226,VRCP,AEROPORTOS BRASIL -  VIRACOPOS S.A.,VIRACOPOS,14522178000107,1,,31/12/9999,A,Não Classificados,Not Classified,7,
29,917252,AENB,AEROPORTOS DO NORDESTE DO BRASIL S.A.,AEROPORTOSDO,33919741000120,99,,31/12/9999,A,Não Classificados,Not Classified,7,
30,25640,AESB,AES BRASIL ENERGIA S.A.,AES BRASIL,37663076000107,18,,23/03/2021,A,Energia Elétrica,Electric Utilities,1,NM
31,26174,AESO,AES BRASIL OPERAÇÕES S.A.,AESOPERACOES,194724000113,1,,02/12/2021,A,Energia Elétrica,Electric Utilities,1,
32,917471,AEAB,AES CAJUINA AB1 HOLDINGS S.A.,AES CAJUINA,45024644000158,99,,31/12/9999,A,Não Classificados,Not Classified,7,
33,913830,AHBR,AES HOLDINGS BRASIL S.A.,AES HOLD BR,5692190000179,1,,31/12/9999,A,Não Classificados,Not Classified,7,
34,915702,TCII,AES Tucano Holding II S.A.,AESTUCHOLDII,34623550000189,1,,31/12/9999,A,Não Classificados,Not Classified,7,
35,913434,AETE,AETE - AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA,AETEAMAZONIA,6001492000116,1,,31/12/9999,A,Não Classificados,Not Classified,7,
36,22179,AFLT,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,AFLUENTE T,10338320000100,1,,24/09/2010,A,Energia Elétrica,Electric Utilities,1,
37,917582,AFYA,AFYA PARTICIPAÇÕES S.A,AFYA PART SA,23399329000172,99,,31/12/9999,A,Não Classificados,Not Classified,7,
38,900012,APRO,AG PROPERTIES LTDA,AGPROPERTIES,47865412000158,99,,31/12/9999,A,Não Classificados,Not Classified,7,
39,917615,AGPT,AG-08 PARTICIPACOES S.A.,AG08PARTICIP,41899757000146,99,,31/12/9999,A,Não Classificados,Not Classified,7,
40,912600,AGAU,AGASUS S.A.,AGASUS S.A.,4212396000191,99,,31/12/9999,A,Não Classificados,Not Classified,7,
41,917561,AGEP,AGE ADMINISTRAÇÃO E PARTICIPAÇÕES S/A,AGE ADMINIST,35674418000169,99,,31/12/9999,A,Não Classificados,Not Classified,7,
42,914655,AGLT,AGEO LESTE S.A,AGEO LESTE S,17233151000192,1,,31/12/9999,A,Não Classificados,Not Classified,7,
